,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
41,Bier International,2099 Frederick Douglass Blvd,10026,307,3.5,Harlem,A,$11-30,NA,No,No,Yes,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,Free,Yes,NA,Yes,Yes,German; Bars; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,NA
42,Pilsener Haus & Biergarten,1422 Grand St,07030,688,4.0,NA,NA,$11-30,Yes,Yes,Yes,Yes,Yes,No,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Loud,Full Bar,Yes,Yes,Free,Yes,No,Yes,Yes,German; Pubs; ,NA,NA,NA,NA,"Dinner, Late Night",Casual,NA
43,Kirker’s Inn,237 Diamond Bridge Ave,07506,66,3.5,NA,NA,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,Yes,No,Free,Yes,NA,NA,Yes,German; Pizza; ,NA,NA,NA,NA,Dinner,Casual,NA
44,Manor Oktoberfest,73-11 Yellowstone Blvd,11375,207,4.0,Forest Hills,A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,No,Yes,NA,Yes,Yes,German; American (Traditional); Bars; ,NA,Yes,NA,Yes,"Lunch, Dinner",Casual,NA
45,Schaller’s Stube Sausage Bar,1652 2nd Ave,10028,161,4.5,"Yorkville, Upper East Side",NA,Under $10,Yes,No,NA,Yes,Yes,No,NA,No,Yes,Yes,No,NA,Average,No,NA,No,No,No,NA,No,No,Butcher; German; Chicken Wings; ,NA,NA,Yes,NA,Lunch,Casual,NA
46,Gottscheer Hall,657 Fairview Ave,11385,42,4.5,Ridgewood,A,Under $10,NA,No,No,Yes,Yes,No,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,No,No,Yes,NA,NA,Yes,German; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
47,Manor Oktoberfest,80-28 Cooper Ave,11385,89,4.0,Glendale,A,$11-30,NA,No,No,Yes,Yes,NA,NA,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,Yes,Yes,No,Yes,NA,NA,No,German; Beer Bar; Burgers; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
48,Cafe Sabarsky,1048 5th Ave,10028,461,4.0,Upper East Side,A,$11-30,NA,Yes,No,No,Yes,NA,Street,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,No,German; Austrian; ,NA,NA,NA,NA,"Lunch, Dessert",Classy,NA
49,Bunny,449 Nostrand Ave,11216,13,5.0,Bedford Stuyvesant,NA,NA,NA,Yes,No,No,Yes,No,Street,No,Yes,NA,NA,NA,NA,Full Bar,NA,No,No,No,No,Yes,Yes,Turkish; German; ,NA,NA,NA,NA,NA,NA,Yes
50,Stammtisch Pork Store,69-46 Myrtle Ave,11385,36,4.5,Glendale,NA,$11-30,NA,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,NA,NA,NA,No,NA,No,NA,NA,NA,Meat Shops; German; ,NA,NA,NA,NA,NA,NA,NA
51,Cafe Steinhof,422 7th Ave,11215,364,4.0,"South Slope, Park Slope",A,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,No,NA,Yes,No,Austrian; ,NA,NA,NA,NA,Dinner,Casual,Yes
52,Bohemian Spirit Restaurant,321 E 73rd St,10021,64,4.0,"Upper East Side, Yorkville",NA,$11-30,Yes,Yes,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,Yes,NA,Yes,NA,Czech; ,NA,NA,Yes,NA,NA,Casual,NA
53,Bohemian Hall & Beer Garden,2919 24th Ave,11102,1077,4.0,Astoria,A,Moderate,NA,NA,NA,NA,Yes,NA,Street,Yes,NA,NA,Yes,NA,Average,Full Bar,NA,Yes,Free,Yes,NA,NA,NA,Beer Gardens; ,NA,NA,NA,NA,NA,Casual,NA
54,Hudson Common,358 W 58th StHudson Hotel,10019,153,3.5,"Hell's Kitchen, Midtown West",NA,$11-30,NA,Yes,No,No,Yes,NA,"Valet, Street",No,NA,No,Yes,Casual,Loud,Full Bar,Yes,Yes,No,Yes,NA,NA,No,Burgers; Bars; Beer Gardens; ,NA,NA,NA,NA,"Dinner, Late Night",Trendy,NA
55,Old Traditional Polish Cuisine,55TH St Broadway Ave,10020,58,4.5,Midtown West,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,No,NA,Polish; Food Trucks; Caterers; ,NA,NA,NA,NA,Lunch,Casual,NA
56,Café Fledermaus,1048 5th Ave,10028,27,3.5,Upper East Side,NA,$11-30,NA,Yes,No,Yes,Yes,NA,NA,No,NA,No,No,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,No,German; ,NA,NA,NA,NA,Lunch,NA,NA
57,Kelvin’s Food Truck,11 St 44 Dr,11101,12,5.0,Long Island City,NA,Under $10,NA,No,No,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Casual,Average,No,NA,No,No,No,Yes,No,Yes,Food Trucks; Burgers; German; ,NA,NA,NA,NA,Lunch,NA,NA
58,West End Hall,2756 Broadway,10025,208,3.5,Manhattan Valley,A,$11-30,NA,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,Yes,Yes,Beer Gardens; American (New); ,NA,NA,NA,NA,"Dinner, Late Night",Casual,Yes
59,Krolewskie Jadlo,694 Manhattan Ave,11222,378,4.0,Greenpoint,B,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,NA,Yes,Polish; ,NA,NA,NA,NA,Dinner,Casual,Yes
60,Budapest Cafe and Restaurant,1631 2nd Ave,10028,216,3.5,"Yorkville, Upper East Side",A,$11-30,NA,Yes,No,Yes,Yes,NA,Street,Yes,NA,Yes,No,Casual,Quiet,Beer & Wine Only,NA,No,No,No,NA,Yes,NA,Bakeries; Hungarian; Cafes; ,NA,NA,NA,NA,"Lunch, Dessert",Casual,NA
61,Christina’s,853 Manhattan Ave,11222,131,3.5,Greenpoint,A,$11-30,NA,Yes,No,Yes,No,NA,Street,Yes,NA,Yes,Yes,Casual,Quiet,Beer & Wine Only,NA,No,Free,No,NA,NA,Yes,Polish; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
