,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
34,NA,Yes,No,Casual,Casual,Yes,Cafes; Kosher; ,Yes,Yes,NA,NA,Brunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,No,Yes,NA,Free,$11-30,Lox,Financial District,4.0,39,10280,36 Battery PlMuseum Of Jewish Heritage
35,NA,Yes,No,Casual,Casual,Yes,Polish; Food Trucks; Caterers; ,NA,No,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,NA,NA,NA,Average,No,NA,Yes,No,No,NA,No,Under $10,Old Traditional Polish Cuisine,Midtown West,4.5,58,10020,55TH St Broadway Ave
36,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Kosher; Uzbek; ,Yes,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,Free,$11-30,Taam Tov,Midtown West,3.5,118,10036,41 W 47th St
37,NA,Yes,Full Bar,Classy,Casual,No,Russian; Steakhouses; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,NA,Yes,No,$11-30,Asia Restaurant,Borough Park,4.0,24,11219,4813 New Utrecht Ave
38,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Modern European; Slovakian; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Baba’s Pierogies,Gowanus,4.5,327,11215,295 3rd Ave
39,NA,Yes,Full Bar,Casual,Casual,NA,Uzbek; Salad; Soup; ,NA,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,Yes,Street,Yes,Yes,Yes,NA,Free,$11-30,Nargis Bar & Grill,Park Slope,4.5,142,11217,155 5th Ave
40,NA,NA,NA,NA,NA,NA,Russian; International Grocery; Specialty Food; ,NA,Yes,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Picnic Gourmet Market,Flatbush,4.5,3,11218,525 E 7th St
41,NA,Yes,Full Bar,Casual,Casual,Yes,Bars; German; Pretzels; ,Yes,No,No,NA,"Dinner, Late Night",Yes,No,NA,NA,NA,NA,Yes,A,NA,NA,Loud,No,Street,Yes,Yes,NA,NA,Free,$11-30,Reichenbach Hall,Midtown West,4.0,640,10018,5 W 37th St
42,NA,Yes,Full Bar,Casual,NA,Yes,Diners; Polish; ,No,Yes,NA,NA,Brunch,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,No,$11-30,Teresa’s,Brooklyn Heights,3.5,251,11201,80 Montague St
43,NA,Yes,NA,NA,NA,NA,Cocktail Bars; Russian; ,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Soffitta, in Thompson Hotel",Financial District,NA,NA,10038,15 Gold St
44,NA,No,Beer & Wine Only,Casual,Casual,Yes,Polish; ,Yes,No,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,Street,Yes,Yes,NA,NA,Free,$11-30,Christina’s,Greenpoint,3.5,131,11222,853 Manhattan Ave
45,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Kosher; Mediterranean; Caterers; ,NA,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Mr Broadway,Midtown West,2.5,240,10018,1372 Broadway
46,NA,Yes,No,Casual,Casual,No,Russian; Cafes; ,Yes,No,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Quiet,No,Street,Yes,Yes,NA,NA,No,$11-30,Lada Cafe,NA,4.0,27,07010,520 Anderson Ave
47,NA,Yes,NA,NA,NA,NA,Russian; Delis; Sandwiches; ,NA,No,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,No,$11-30,Syberia International Food,NA,3.5,9,07024,268 Columbia Ave
48,NA,No,Full Bar,Casual,Casual,Yes,Modern European; Czech; Slovakian; ,Yes,No,NA,NA,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Quiet,No,Street,Yes,Yes,NA,NA,No,$11-30,Koliba,Astoria,4.5,98,11105,3111 23rd Ave
49,NA,Yes,No,Casual,NA,Yes,Fast Food; Turkish; Modern European; ,Yes,Yes,NA,Yes,Lunch,Yes,Yes,No,NA,NA,NA,Yes,A,NA,Yes,Average,Yes,Street,Yes,No,Yes,Yes,No,$11-30,Djerdan Burek Astoria,Astoria,4.0,113,11106,3404 31st Ave
50,NA,Yes,No,"Casual, Trendy",Casual,Yes,Cafes; Kosher; Breakfast & Brunch; ,Yes,Yes,NA,Yes,"Breakfast, Brunch, Lunch",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,"Garage, Street",Yes,No,Yes,Yes,Free,$11-30,Coffee Berry,Upper West Side,4.0,66,10024,618 Amsterdam Ave
51,No,Yes,No,Casual,Casual,Yes,Kosher; Sushi Bars; Steakhouses; ,Yes,Yes,No,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Loud,No,Street,Yes,Yes,Yes,NA,No,$11-30,Kasbah Grill & Sushi Restaurant,Upper West Side,3.0,77,10024,251 W 85th St
52,No,Yes,Full Bar,"Casual, Classy",Casual,Yes,Kosher; Sushi Bars; Burgers; ,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,Free,$31-60,Eighteen Restaurant,"Upper East Side, Yorkville",3.5,43,10028,240 E 81st St
53,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Delis; Kosher; Sandwiches; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,B,NA,NA,Quiet,No,Street,Yes,No,Yes,NA,No,$11-30,Fine & Schapiro,Upper West Side,3.5,147,10023,138 W 72nd St
54,NA,Yes,No,Casual,Casual,NA,Kosher; Middle Eastern; ,NA,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,NA,$11-30,Nargila Grill,"Yorkville, Upper East Side",3.5,65,10028,1599 York Ave
55,NA,Yes,No,Casual,NA,Yes,Delis; Sandwiches; Kosher; ,Yes,Yes,NA,Yes,Lunch,No,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,$11-30,Pastrami Queen,Upper East Side,3.5,428,10075,1125 Lexington Ave
56,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Delis; Kosher; Sandwiches; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,$11-30,2nd Ave Deli,"Murray Hill, Kips Bay, Midtown East",4.0,1078,10016,162 E 33rd St
57,NA,Yes,Full Bar,Touristy,Casual,Yes,German; Bars; ,No,No,NA,NA,Dinner,Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Very Loud,No,Street,No,Yes,NA,NA,No,$11-30,Rolf’s Bar & Restaurant,Gramercy,2.5,713,10010,281 3rd Ave
58,NA,Yes,No,NA,NA,NA,Food Stands; Kosher; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,$11-30,Brucha Caterer Truck,"Chelsea, Midtown West, Hell's Kitchen",4.0,3,10011,9th Ave & 33rd St
59,No,Yes,Full Bar,Casual,NA,Yes,Kosher; Delis; Sandwiches; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,Yes,NA,Yes,NA,Yes,B,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,Ben’s Kosher Delicatessen Restaurant & Caterers,Midtown West,3.5,566,10018,209 W 38th St
60,NA,Yes,Beer & Wine Only,Classy,Casual,Yes,Steakhouses; Kosher; American (Traditional); ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,Yes,Street,Yes,Yes,NA,NA,Free,$31-60,Wolf & Lamb Steakhouse,Midtown East,3.5,158,10017,10 E 48th St
61,NA,Yes,Full Bar,Casual,Casual,Yes,Bars; German; Pretzels; ,No,No,NA,NA,"Lunch, Late Night",Yes,No,Yes,NA,NA,NA,No,A,NA,NA,Loud,Yes,Street,No,No,NA,NA,No,$11-30,"The Biergarten at The Standard, High Line","Meatpacking District, West Village",3.5,836,10014,848 Washington St
62,NA,Yes,No,NA,NA,No,Delis; Kosher; ,Yes,Yes,NA,NA,Lunch,No,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,NA,No,$11-30,Mendy’s Rock,Midtown West,2.5,35,10020,37 W 48th St
63,NA,Yes,Full Bar,Casual,Casual,Yes,Polish; ,Yes,Yes,NA,Yes,Dinner,Yes,Yes,NA,NA,NA,NA,No,B,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Krolewskie Jadlo,Greenpoint,4.0,378,11222,694 Manhattan Ave
64,NA,Yes,No,Casual,NA,Yes,Middle Eastern; Fast Food; Kosher; ,Yes,Yes,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Kosher Deluxe,Midtown West,3.0,90,10036,10 W 46th St
65,NA,Yes,Full Bar,NA,Dressy,No,Russian; Modern European; ,Yes,Yes,NA,Yes,Dessert,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,NA,Yes,Yes,NA,NA,Free,$11-30,Sveta’s House,Rego Park,4.5,39,11374,92-60 Queens Blvd
66,NA,Yes,No,NA,NA,Yes,Russian; Delis; Sandwiches; ,Yes,No,NA,NA,NA,No,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,No,NA,Yes,Yes,NA,NA,Paid,Under $10,Appetitto,Jackson Heights,4.5,15,11372,79-07 37th Ave
67,No,Yes,Full Bar,Classy,Casual,Yes,Mediterranean; Kosher; Georgian; ,Yes,Yes,NA,Yes,"Lunch, Dinner, Dessert",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,$11-30,Marani,"Rego Park, Forest Hills",4.5,202,11374,97-26 63rd Rd
68,NA,Yes,NA,NA,NA,NA,Middle Eastern; Uzbek; Kosher; ,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Kazan Mangal,Rego Park,3.0,20,11374,97-13 Queens Blvd
69,NA,Yes,Full Bar,NA,Casual,Yes,Modern European; Venues & Event Spaces; ,Yes,Yes,NA,Yes,Dessert,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Free,$11-30,Boon by Moldova Restaurant,Sunnyside,4.0,56,11104,43-45 40th St
70,NA,Yes,Full Bar,Casual,Casual,Yes,Mediterranean; Modern European; ,Yes,Yes,No,NA,Dinner,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Romanian Garden,Sunnyside,3.5,107,11104,43-06 43rd Ave
71,NA,Yes,No,Casual,NA,Yes,Delis; Kosher; ,Yes,No,NA,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,No,NA,No,$11-30,Loeser’s Kosher Delicatessen and Caterers,Kingsbridge,4.0,96,10463,214 W 231st St
72,NA,Yes,Full Bar,Casual,Casual,Yes,Bakeries; Bars; Modern European; ,Yes,Yes,NA,NA,Dessert,Yes,Yes,No,NA,NA,NA,Yes,A,NA,NA,Average,Yes,Street,Yes,No,Yes,Yes,Free,$11-30,Omonia Cafe - Astoria,Astoria,3.0,594,11106,32-20 Broadway
73,NA,Yes,Beer & Wine Only,Casual,NA,Yes,Delis; Sandwiches; Kosher; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,$11-30,2nd Ave Deli,"Upper East Side, Yorkville",3.5,289,10021,1442 1st Ave
