,Accepts Apple Pay,Accepts Bitcoin,Accepts Credit Cards,Accepts Google Pay,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Offers Military Discount,Open to All,Outdoor Seating,Parking,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
10,Yes,No,Yes,Yes,Beer & Wine Only,"Casual, Trendy",Casual,NA,Yes,Yes,NA,Yes,Yes,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,Yes,Street,NA,Yes,No,No,No,Free,Under $10,DokoDemo,4.5,189,10003,89 E 4th St
11,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,Yes,NA,Yes,"Lunch, Dinner",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Quiet,NA,NA,No,Street,NA,Yes,Yes,NA,NA,No,$11-30,Ise Restaurant,4.5,315,10003,63 Cooper Sq
12,Yes,No,Yes,No,Beer & Wine Only,Intimate,Casual,NA,No,No,NA,No,No,Yes,Dinner,NA,No,No,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,No,No,Above $61,Secchu Yokota,5.0,67,10009,199 E 3rd StFl 1
13,No,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Yakitori Taisho,3.5,1522,10003,5 St Marks PlSte 1
14,No,NA,Yes,No,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,No,Yes,Dinner,NA,No,No,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,No,No,Above $61,Kura,4.5,407,10009,130 St Marks Pl
15,No,No,Yes,No,Beer & Wine Only,"Intimate, Classy",Casual,"Mon, Sat, Sun",Yes,No,NA,No,NA,Yes,"Brunch, Lunch",No,No,No,No,No,NA,NA,NA,No,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,NA,No,$11-30,Hi-Collar,4.0,439,10003,214 E 10th St
16,No,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,Yes,No,NA,Yes,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,Free,$31-60,SenYa,4.0,204,10003,109 1st Ave
17,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Takahachi,4.0,511,10009,85 Ave A
18,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,Yes,No,NA,No,NA,NA,Dessert,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,Yes,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Cha-An,4.0,1617,10003,230 E 9th StFl 2
19,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,Yes,No,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,Yes,Average,NA,NA,No,NA,NA,Yes,No,Yes,NA,No,$11-30,Beron Beron,4.0,93,10009,164 1st Ave
20,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Sakagura East Village,3.0,4,10003,231 E 9th St
21,No,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,No,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Shabu-Tatsu East Village,4.0,584,10003,216 E 10th St
22,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Umi No Ie,4.0,145,10003,86 E 3rd St
23,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$31-60,Hasaki,4.0,349,10003,210 E 9th StBasement
24,No,NA,Yes,No,Beer & Wine Only,"Casual, Trendy",Casual,NA,No,No,NA,No,NA,NA,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,No,No,$11-30,Ikinari Steak East Village,4.0,677,10003,90 E 10th St
25,No,NA,No,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Minca,4.0,1583,10009,536 E 5th St
26,No,NA,Yes,Yes,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$11-30,Kenka,3.5,1467,10003,25 St Marks Pl
27,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,No,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,Yes,No,NA,No,No,$11-30,Curry-Ya,4.0,684,10003,214 E 10th St
28,NA,NA,Yes,NA,Full Bar,"Casual, Intimate, Classy",Casual,Wed,No,No,No,No,NA,Yes,Dinner,No,Yes,No,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,Yes,No,$31-60,Autre Kyo Ya,4.0,93,10003,10 Stuyvesant St
29,Yes,No,Yes,Yes,Beer & Wine Only,"Casual, Trendy",Casual,NA,Yes,Yes,NA,Yes,Yes,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,Yes,Street,NA,Yes,No,No,No,Free,Under $10,DokoDemo,4.5,189,10003,89 E 4th St
30,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,Yes,NA,Yes,"Lunch, Dinner",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Quiet,NA,NA,No,Street,NA,Yes,Yes,NA,NA,No,$11-30,Ise Restaurant,4.5,315,10003,63 Cooper Sq
31,Yes,No,Yes,No,Beer & Wine Only,Intimate,Casual,NA,No,No,NA,No,No,Yes,Dinner,NA,No,No,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,No,No,Above $61,Secchu Yokota,5.0,67,10009,199 E 3rd StFl 1
32,No,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Yakitori Taisho,3.5,1522,10003,5 St Marks PlSte 1
33,No,NA,Yes,No,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,No,Yes,Dinner,NA,No,No,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,No,No,Above $61,Kura,4.5,407,10009,130 St Marks Pl
34,No,No,Yes,No,Beer & Wine Only,"Intimate, Classy",Casual,"Mon, Sat, Sun",Yes,No,NA,No,NA,Yes,"Brunch, Lunch",No,No,No,No,No,NA,NA,NA,No,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,NA,No,$11-30,Hi-Collar,4.0,439,10003,214 E 10th St
35,No,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,Yes,No,NA,Yes,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,Free,$31-60,SenYa,4.0,204,10003,109 1st Ave
36,No,NA,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Takahachi,4.0,511,10009,85 Ave A
37,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,Yes,No,NA,No,NA,NA,Dessert,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,Yes,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Cha-An,4.0,1617,10003,230 E 9th StFl 2
38,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,Yes,No,NA,Yes,NA,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,Yes,Average,NA,NA,No,NA,NA,Yes,No,Yes,NA,No,$11-30,Beron Beron,4.0,93,10009,164 1st Ave
39,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Sakagura East Village,3.0,4,10003,231 E 9th St
40,No,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,No,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Shabu-Tatsu East Village,4.0,584,10003,216 E 10th St
41,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Umi No Ie,4.0,145,10003,86 E 3rd St
42,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$31-60,Hasaki,4.0,349,10003,210 E 9th StBasement
43,No,NA,Yes,No,Beer & Wine Only,"Casual, Trendy",Casual,NA,No,No,NA,No,NA,NA,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,No,No,$11-30,Ikinari Steak East Village,4.0,677,10003,90 E 10th St
44,No,NA,No,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Minca,4.0,1583,10009,536 E 5th St
45,No,NA,Yes,Yes,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$11-30,Kenka,3.5,1467,10003,25 St Marks Pl
46,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,No,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,Yes,No,NA,No,No,$11-30,Curry-Ya,4.0,684,10003,214 E 10th St
47,NA,NA,Yes,NA,Full Bar,"Casual, Intimate, Classy",Casual,Wed,No,No,No,No,NA,Yes,Dinner,No,Yes,No,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,Yes,No,$31-60,Autre Kyo Ya,4.0,93,10003,10 Stuyvesant St
48,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,No,$31-60,Kanoyama,4.0,598,10003,175 2nd Ave
49,No,No,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Kotobuki Manhattan,4.0,531,10003,56 3rd Ave
50,No,No,Yes,No,Full Bar,Casual,Casual,NA,No,No,NA,No,NA,Yes,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Village Yokocho,3.5,721,10003,8 Stuyvesant St
51,NA,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,No,No,NA,No,NA,Yes,Late Night,NA,Yes,No,NA,Yes,NA,NA,NA,No,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Sake Bar Satsko,4.0,143,10009,202 E 7th St
52,No,No,Yes,No,No,NA,NA,NA,No,No,NA,Yes,No,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,NA,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,Under $10,Resobox  East Village,5.0,5,10003,91 E 3rd St
53,NA,NA,Yes,NA,Full Bar,NA,Casual,"Thu, Fri, Sat",Yes,No,NA,No,NA,Yes,Late Night,No,Yes,No,NA,No,NA,NA,NA,No,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Sake Bar Decibel,4.0,907,10003,240 E 9th St
54,No,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,No,Yes,NA,"Lunch, Dinner",NA,No,Yes,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,NA,NA,Yes,No,No,No,Free,$11-30,TongKatsu,5.0,164,10002,137 Rivington St
55,No,NA,Yes,NA,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,Yes,No,Street,NA,No,Yes,Yes,No,No,$31-60,Yopparai,4.5,194,10002,151 Rivington StFl 1
56,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,No,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,No,No,$11-30,Zundo-Ya,4.0,650,10003,84 E 10th St
57,No,No,Yes,No,Full Bar,Trendy,Casual,NA,No,No,NA,No,No,NA,"Lunch, Dinner",NA,Yes,Yes,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Loud,NA,NA,No,Street,NA,No,No,Yes,Yes,No,$11-30,Ippudo NY,4.0,9576,10003,65 4th Ave
58,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Sakagura East Village,3.0,4,10003,231 E 9th St
59,No,NA,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,No,Yes,Dinner,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Shabu-Tatsu East Village,4.0,584,10003,216 E 10th St
60,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,$11-30,Umi No Ie,4.0,145,10003,86 E 3rd St
61,No,NA,Yes,No,Full Bar,Casual,Casual,NA,Yes,No,NA,No,NA,NA,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$31-60,Hasaki,4.0,349,10003,210 E 9th StBasement
62,No,NA,Yes,No,Beer & Wine Only,"Casual, Trendy",Casual,NA,No,No,NA,No,NA,NA,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,No,No,$11-30,Ikinari Steak East Village,4.0,677,10003,90 E 10th St
63,No,NA,No,No,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,Yes,NA,Average,NA,NA,No,Street,NA,Yes,No,Yes,NA,No,$11-30,Minca,4.0,1583,10009,536 E 5th St
64,No,NA,Yes,Yes,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,No,NA,NA,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,B,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,No,NA,NA,No,$11-30,Kenka,3.5,1467,10003,25 St Marks Pl
65,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,Yes,Yes,NA,Yes,No,Yes,"Lunch, Dinner",NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,Yes,No,NA,No,No,$11-30,Curry-Ya,4.0,684,10003,214 E 10th St
66,NA,NA,Yes,NA,Full Bar,"Casual, Intimate, Classy",Casual,Wed,No,No,No,No,NA,Yes,Dinner,No,Yes,No,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,Yes,Yes,No,$31-60,Autre Kyo Ya,4.0,93,10003,10 Stuyvesant St
67,No,NA,Yes,NA,Full Bar,Casual,Casual,NA,Yes,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,NA,No,$31-60,Kanoyama,4.0,598,10003,175 2nd Ave
68,No,No,Yes,NA,Beer & Wine Only,Casual,Casual,NA,Yes,No,NA,Yes,NA,NA,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,Yes,Loud,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Kotobuki Manhattan,4.0,531,10003,56 3rd Ave
69,No,No,Yes,No,Full Bar,Casual,Casual,NA,No,No,NA,No,NA,Yes,"Dinner, Late Night",NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Village Yokocho,3.5,721,10003,8 Stuyvesant St
70,NA,NA,Yes,NA,Beer & Wine Only,"Casual, Intimate",Casual,NA,No,No,NA,No,NA,Yes,Late Night,NA,Yes,No,NA,Yes,NA,NA,NA,No,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,Yes,NA,NA,Free,$11-30,Sake Bar Satsko,4.0,143,10009,202 E 7th St
71,No,No,Yes,No,No,NA,NA,NA,No,No,NA,Yes,No,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,A,NA,NA,NA,NA,NA,No,Street,NA,Yes,No,No,Yes,Free,Under $10,Resobox  East Village,5.0,5,10003,91 E 3rd St
72,NA,NA,Yes,NA,Full Bar,NA,Casual,"Thu, Fri, Sat",Yes,No,NA,No,NA,Yes,Late Night,No,Yes,No,NA,No,NA,NA,NA,No,NA,No,A,NA,NA,Loud,NA,NA,No,Street,NA,No,No,NA,NA,No,$11-30,Sake Bar Decibel,4.0,907,10003,240 E 9th St
73,No,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,No,Yes,NA,"Lunch, Dinner",NA,No,Yes,NA,No,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,NA,NA,Yes,No,No,No,Free,$11-30,TongKatsu,5.0,164,10002,137 Rivington St
74,No,NA,Yes,NA,Beer & Wine Only,Intimate,Casual,NA,Yes,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,Yes,No,Street,NA,No,Yes,Yes,No,No,$31-60,Yopparai,4.5,194,10002,151 Rivington StFl 1
75,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,No,NA,No,No,Yes,"Lunch, Dinner",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,No,A,NA,Yes,Average,NA,NA,No,Street,NA,No,No,Yes,No,No,$11-30,Zundo-Ya,4.0,650,10003,84 E 10th St
76,No,No,Yes,No,Full Bar,Trendy,Casual,NA,No,No,NA,No,No,NA,"Lunch, Dinner",NA,Yes,Yes,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Loud,NA,NA,No,Street,NA,No,No,Yes,Yes,No,$11-30,Ippudo NY,4.0,9576,10003,65 4th Ave
77,No,NA,Yes,NA,Beer & Wine Only,NA,Casual,NA,No,No,NA,No,NA,Yes,Dinner,NA,No,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Quiet,NA,NA,No,Street,NA,No,Yes,NA,NA,No,Above $61,Cagen Japan Restaurant,4.0,167,10009,414 E 9th St
78,No,No,Yes,No,Beer & Wine Only,"Hipster, Casual, Trendy",Casual,"Tue, Sat",No,No,No,Yes,No,NA,Dinner,No,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,No,A,NA,Yes,NA,NA,NA,No,"Garage, Street",No,Yes,Yes,Yes,Yes,No,$11-30,Izakaya Juraku,4.5,40,10002,121 Ludlow St
79,NA,NA,Yes,NA,No,"Casual, Trendy",Casual,NA,Yes,No,NA,Yes,No,Yes,NA,NA,No,No,NA,No,Yes,Yes,NA,NA,Yes,No,A,Yes,Yes,Average,NA,NA,No,Street,NA,Yes,Yes,Yes,Yes,Free,$11-30,Umami Sushi,4.5,49,10011,50 Greenwich Ave
80,No,No,Yes,No,Beer & Wine Only,Casual,Casual,NA,No,Yes,NA,Yes,NA,Yes,Dinner,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,A,NA,NA,Average,NA,NA,No,Street,NA,Yes,No,NA,NA,Free,$31-60,Yuba,4.0,348,10003,105 E 9th St
